subject,description
User Meloni Emmanuel Apponfly,"Good afternoon,

 

can you please check if there is a problem in the connection of the user Emmanuel Meloni?  He tried to connect from two different browsers but the landing page remains the same:

 

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Request for Device ID and Configuration Reset on VPS,"Dear AppOnFly Support Team,

I hope this message finds you well.

I am currently using your VPS service, and I have encountered a situation where I need to reset or change the device identifiers (such as Device ID, MAC address, IP address, etc.) associated with my virtual machine. After performing several factory resets, it appears that certain device configurations are not being fully reset, and this is affecting my ability to use specific services.

Could you please assist me in:

- Changing or resetting the device identifiers (Device ID, MAC address, and other relevant identifiers).
- Reassigning a new IP address to my VPS instance.
- Ensuring that my VPS is treated as a completely fresh machine after a reset.

If there are any additional steps I need to follow to accomplish this or if there are limitations related to my plan, kindly let me know.

I appreciate your assistance and look forward to your response.

Best regards,
Mehedi
**AppOnFly Account Email:** atulhossain007@gmail.com"
text,i have not been on and i really wanna watch tv n i dont like that it is busy everyday all day like its annoying
richard,nesesito comprar un plan mas grande de el que tengo actualmente como puedo cancelar o hacer para no tener que pagar doble
Subscription,"Hello,

I have added payment method in Stripe but when I select plan that interests me and click Subscribe nothing happens (spinning wheel in button appears and it is stuck forever), same thing happens when I try to launch trial server (stuck at looking for trial machine forever with no error. I am using Safari on IPADOS 17."
Bon///soir,"Bonsoir As-tu 
Reçu mon message ???

Cordialement
eric"
Why is my RDP SUPER SLOW,"I just bought the gold package for 250 hours, i cant even load a website. it is so super slow, its the browser version how do i fix this?"
Refund,I Want A Refund Please
VPS no Internet,"Hi, VPS does not have internet connection"
Firewall,Ports on the server are not open despite opening them.
information about products,"I was thinking of getting the 100-hour version, but I have a question: Is it valid for 100 hours as long as I use it, or does my time decrease in the background if I don't use it?"
Made A Mistake,"I Cant To My VPS Because I Had VPN Connected.. Could You Please Help I Have Somee Backup Codes I Need To Retrieve, I Dont Want To Factory Reset"
roblox,we can pay roblox
Ports,Ports are not opened despite opening them.
VPS Free Trial,"Dear,

Appreciate your VPs free trials and your service.

However wanted to bring to your attention that it is not working for the past 1 or 2 days. It starts the session but does not connect, with an error message, ""the connection has been closed because the server is taking too long to respond"" I tried from diffrent connections and systems.

Please check"
free trial weak wifi  ,Every time I try to load up free trial it keeps saying my WiFi is weak or bad but when I test my ping on a game I have 0 ping I don’t even know if I wanna buy any subscriptions because it can’t even work
Connection Error,"The connection has been closed because the server is taking too long to respond. This is usually caused by network problems, such as a spotty wireless signal, or slow network speeds. Please check your network connection and try again or contact your system administrator"
VM Support,"Hello,



I am trying to use the trial VM but whenever I go on it I get re-directed to ‘Apache Guacamole sign-in page’. It makes me have to add a username and password."
wrong hours used counter,"hi, i purchased 100 hours of a windows vm some times ago and used for a couple of hours, then turned off. yesterday i found out that the hours used counter was already at 33h, but i never used the machine again in the last few months. can you please check?"
Bad computer,Because it did not turn off and reset
nothin,its saying its busy and it should not be busy at this time night it be acting up all the time n i cant even watch my movie cause its always busy like i wanna watch somthing tonight
VM Support,"Hello,



Whenever I try to use the trial VM it re-directs me to this page that makes me sign-in to Apache Guacamole. I attached a screenshot below of what it looks like."
My trial isnt working,Its been 16 days. Still not working
Connection Error,"The connection has been closed because the server is taking too long to respond. This is usually caused by network problems, such as a spotty wireless signal, or slow network speeds. Please check your network connection and try again or contact your system administrator"
the free rdp is not working ,fix that
It doesn't let me into the free trial.,Whenever I try to get into a free trial it just doesn't let me.
Free trial error and says weak WiFi ,Every time I try to load up free trial it keeps saying my WiFi is weak or bad but when I test my ping on a game I have 0 ping I don’t even know if I wanna buy any subscriptions because it can’t even work
nothin,hey I'm Peyton i have a problem every time i get on n i start a free trail it lets me on but then stay something wrong w my connection and there nothing wrong because i tried it out different places n different houses and i don't know what's goin on so pls fix that cause then when i really wanna get one it says its busy or its i been on a lot n i really haven't it wont let me on
VPS Free Trial,"Dear,

Appreciate your VPs free trials and your service.

However wanted to bring to your attention that it is not working for the past 1 or 2 days. It starts the session but does not connect, with an error message, ""the connection has been closed because the server is taking too long to respond"" I tried from diffrent connections and systems.

Please check"
Switch Subscription Plan,Can I please switch my subscription plan to yearly without losing my virtual computer and all the saved data?
wrong hours used counter,"hi, some times ago i purchased 100 hours for a windows vm and used for a couple of hours. yesterday i logged in again and found out that 33hr were already used. can you please check? i think something's wrong, maybe someone else used my account? thanks"
DISCONNECTING ME EARLY,FIX THIS BULLSHIT LAZY FUCKS
Pricing,"The pricing doesn't seem to make senses. The basic package is 100 hours/year. But it says minimum billing is 10/month. But that makes 120 hours/year, more than the package?"
nothin,what's goin on with the connectionn like fr like i wanna watch my movie
nothin,um whats goin on with the connection its doing that thing again so pls fix the connection cause i went to 2 different location and its still talm bout the wifi
nothin,i really wanna watch something can u pls make a free trail for me pls
nothin,why is it not working it always not workin im bout to give dis app 2 stars
nothin,why is it still busy i wanna watch my movie like pls cmon
Refund,"Dear Apponfly,

I hope this message finds you well. I am writing to request a refund for my subscription fees and to cancel my subscription to your service, UpOnFly.

I was unaware that $11.9 USD was being charged monthly, as it wasn't clearly shown to me until today. Upon reviewing the situation, I realized that I've spent a total of $59.5 USD for the months of June, July, August, September, and October (Today)  without actively using the service. This amount is significant for me, as I live in Morocco, and I feel that I have wasted this money.

Please feel free to check your records to verify how many days I actually used the site. I believe you will find that I have not been using the service for these months. I kindly request a refund for the unused months, as this is a real financial burden for me.

I greatly appreciate your time and consideration, and I hope you will review the data regarding my usage and help me with this refund.


Best regards,
Hassan Abali"
80% quota threshold exceeded for the folder C:\Users\aspp\ on server AOF0279!,"Quota threshold 80% exceeded for folder C:\Users\aspp\ on server AOF0279. The quota limit is 2048,00 MB, and 1668,02 MB currently is in use (81% of limit).
Source of notification: C:\Users\aspp\AppData\Local\Adobe\ARM\Reader_24.002.20965\BIT9AE0.tmp.
Owner of the source of the notification AOF\aspp."
Trial is not working and all the time asked to connect again,Trial is not working and all the time asked to connect again
30 days free trials,please give me a 30 days free windows rdp trial
it was giving me an error message when I was tryin...,it was giving me an error message when I was trying to install apps.
nothin,can u make a free trail for me pls i wanna watch a movie pls
Update from 80 Level | AppOnFly | 10/4/2024,"Hello!

Hope you've been doing well since our last conversation. I wanted to get in touch to reconnect and see if you're interested in exploring potential opportunities for collaboration between our companies.

Current Status:

* We previously connected and discussed marketing and content campaign options that your team could run on 80 Level. For further details on the various opportunities available, please refer to the media kit attached to this email.
* Earlier, I mentioned the opportunity to host contests on our platform which can be a powerful way to engage our audience and increase visibility for your brand and products. These contests can be tailored specifically for your company or run in collaboration with other brands. If you'd like to learn more about this opportunity, please don't hesitate to reach out. I'd be happy to provide further details.

Next Steps:

* We are excited to learn more about your marketing plans for the coming months. Please let us know if you're planning any specific campaigns, launches, or promotional activities so that we can explore how our potential collaboration can best support your goals.
* If you have availability next week for a quick call to discuss your marketing plans and find out how 80 Level can assist you, I would be happy to connect. Please feel free to schedule a time slot that works for you on my calendar (https://ana80.youcanbook.me/) .

Thanks, and looking forward to hearing from you!

--


Best Regards,
Ana Kessler
Partner Manager, 80.lv
ana@80.lv"
Request for Refund,"Dear Apponfly,

I hope this message finds you well. I am writing to request a refund for my subscription fees and to cancel my subscription to your service, UpOnFly.

I was unaware that $11.9 USD was being charged monthly, as it wasn't clearly shown to me until today. Upon reviewing the situation, I realized that I've spent a total of $59.5 USD for the months of June, July, August, September, and October without actively using the service. This amount is significant for me, as I live in Morocco, and I feel that I have wasted this money.

Please feel free to check your records to verify how many days I actually used the site. I believe you will find that I have not been using the service for these months. I kindly request a refund for the unused months, (June, July, August, September, and October) as this is a real financial burden for me.

I greatly appreciate your time and consideration, and I hope you will review the data regarding my usage and help me with this refund.

Please find the files uploaded.

Best regards,
Hassan Abali"
